"Main","ActivationDate","total_traffic"
" VICTORIA PARK AVE ",2015-06-16T00:00:00.0000000,31452
" STEELES AVE W ",2012-08-01T00:00:00.0000000,29596
" WARDEN AVE ",2010-11-20T00:00:00.0000000,26794
" BAY ST ",2014-03-20T00:00:00.0000000,24423
" STEELES AVE W ",2014-03-12T00:00:00.0000000,23875
" SHEPPARD AVE E ",2011-02-16T00:00:00.0000000,22753
" KEELE ST ",2011-05-25T00:00:00.0000000,21361
" BATHURST ST ",2011-12-16T00:00:00.0000000,21291
" VICTORIA PARK AVE ",2013-07-11T00:00:00.0000000,20699
" RENFORTH DR ",2015-03-31T00:00:00.0000000,20165
