"Main","weekday","total_traffic"
" DUNDAS ST W ",3,425123
" STEELES AVE W ",2,425075
" EGLINTON AVE E ",4,398125
" YONGE ST ",3,389999
" YONGE ST ",4,361785
" EGLINTON AVE W ",4,346176
" YONGE ST ",2,337492
" YONGE ST ",1,315001
" STEELES AVE E ",3,291525
" BATHURST ST ",4,284391
" SHEPPARD AVE E ",2,260534
" YONGE ST ",0,259442
" AVENUE RD ",4,257175
" DUFFERIN ST ",4,250052
" MCCOWAN RD ",2,249720
" KEELE ST ",2,240873
" FINCH AVE W ",2,236243
" STEELES AVE E ",2,234158
" SHEPPARD AVE E ",3,231142
" EGLINTON AVE E ",0,220378
